Food_items,Breakfast,Lunch,Dinner,VegNovVeg,Calories,Fats,Proteins,Iron,Calcium,Sodium,Potassium,Carbohydrates,Fibre,VitaminD,Sugars
Momo (Fried),0,0,1,1,247,7.7,23.2,1.35,115.8,186,283,32.0,11.0,0,7.3
Fried Rice (Veg),0,1,1,0,425,13.0,20.4,5.44,95.8,154,380,56.8,8.4,0,5.2
Fruit Salad with Yogurt,1,0,0,1,335,19.8,25.8,4.66,147.0,448,812,47.5,9.7,0,5.0
Chicken Pasta,0,1,1,1,467,20.4,23.4,2.9,179.2,254,887,32.5,11.0,0,5.9
Vegetable Tarkari,0,1,1,0,385,4.0,32.6,3.4,234.2,94,747,20.4,10.5,0,13.6
Lentil Soup,1,1,1,1,365,22.3,7.1,2.67,52.7,167,514,33.6,1.2,0,3.2
Chicken Curry,0,1,1,1,166,7.4,21.3,2.76,52.5,182,845,16.3,3.4,0,13.5
Gundruk Soup,1,1,0,0,334,9.2,27.2,4.63,104.2,366,721,84.3,11.4,0,4.2
Boiled Eggs & Toast,1,0,0,1,341,23.5,5.8,2.96,228.5,228,754,51.7,10.1,0,8.1
Corn Soup,1,1,1,0,303,10.5,27.0,3.83,61.7,558,581,40.6,3.5,0,10.8
Chiura with Curd,1,0,0,1,307,4.9,19.2,2.87,60.1,299,194,56.4,4.1,0,6.5
Dal Bhat (Rice & Lentils),0,1,1,1,493,5.3,19.7,2.45,180.3,555,707,58.5,5.8,0,6.5
Thukpa,1,1,1,0,350,11.8,17.9,1.42,115.7,462,296,41.2,10.6,0,14.0
Momo (Steamed),0,1,1,0,407,24.7,34.1,5.37,62.7,471,605,55.8,10.2,0,14.1
Grilled Chicken Sandwich,1,1,0,0,425,24.2,5.8,3.38,151.4,290,282,63.7,9.4,0,7.7
Paneer Curry,0,1,1,0,434,24.7,13.9,1.23,247.3,204,108,73.4,5.5,0,8.3
Oats Porridge with Fruits,1,0,0,0,361,13.0,29.1,1.65,152.3,251,107,76.8,7.0,0,9.8
Brown Bread Omelette,1,0,0,1,401,4.9,12.7,5.39,119.4,259,339,25.7,10.6,0,9.9
Fried Rice (Chicken),0,1,1,1,335,16.9,6.1,1.39,227.1,383,293,71.4,8.5,0,1.9
Veg Pasta,0,1,1,1,226,11.2,27.8,4.47,193.9,462,343,86.0,4.9,0,12.4
